ID,radius,e_ariadne_upper,e_ariadne_lower,radius_ng,e_ariadne_ng_upper,e_ariadne_ng_lower,published_radius,pub_e_rad,[Fe/H],ariadne_feh_upper,ariadne_feh_lower,[Fe/H]_ng,ariadne_ng_feh_upper,ariadne_ng_feh_lower,published [Fe/H],pub_e_feh,logg,ariadne_logg_upper,ariadne_logg_lower,logg_ng,ariadne_ng_logg_upper,ariadne_ng_logg_lower,published_logg,pub_e_logg,teff,ariadne_teff_upper,ariadne_teff_lower,teff_ng,ariadne_ng_teff_upper,ariadne_ng_teff_lower,published_teff,pub_e_teff
HD 222368,1.583,0.024,0.026,1.569,0.05,0.039,1.5949,0.0137,-0.12,0.08,0.07,-0.1,0.09,0.09,-0.03,0.02,4.04,0.09,0.1,4.01,0.16,0.13,4.15,0.06,6187.51,34.01,31.97,6201.01,53.95,63.42,6279,20
HD 5015,1.729,0.028,0.02,1.693,0.036,0.037,1.7426,0.0233,-0.12,0.1,0.07,-0.06,0.09,0.1,0.13,0.02,3.98,0.11,0.14,4.03,0.1,0.11,4.09,0.03,6029.8,26.35,31.77,6078.66,47.25,45.52,6148,15
HD 190406,1.069,0.013,0.013,1.157,0.057,0.035,1.1153,0.0211,0.09,0.1,0.08,0.09,0.1,0.1,0.06,0.02,4.34,0.11,0.12,4.38,0.15,0.18,4.4,0.05,5902.06,24.37,29.68,5710.46,60.71,103.29,5944,20
HD 146233,1.04,0.026,0.016,1.063,0.052,0.024,1.01,0.009,0.01,0.12,0.09,0.01,0.09,0.11,0.056,0.003,4.35,0.12,0.11,4.23,0.2,0.2,4.45,0.01,5773.59,30.26,61.48,5716.73,51.84,94.01,5814,3
HD 101501,0.868,0.017,0.013,0.855,0.033,0.019,0.94,0.01,-0.11,0.09,0.09,-0.08,0.09,0.11,-0.03,0.01,4.5,0.07,0.06,4.51,0.09,0.11,4.53,0.05,5488.48,35.25,39.6,5505.04,60.39,60.11,5534,10
GJ 892,0.811,0.016,0.013,0.832,0.032,0.029,0.7784,0.0053,0.03,0.09,0.1,-0.04,0.09,0.12,0.12,0.03,4.57,0.06,0.05,4.58,0.06,0.05,4.56,0.06,4718,29.23,31.23,4691.54,48.88,52.49,4835,44
GJ 338B,0.629,0.01,0.009,0.555,0.063,0.027,0.5673,0.0137,-0.13,0.09,0.13,0.04,0.1,0.09,0.34,0,4.46,0.18,0.13,4.24,0.21,0.2,4.49,0,3845.87,23.04,31.99,3929.77,50.7,80.78,3763,0
GJ 380**,0.744,0.013,0.011,0.721,0.044,0.041,0.6415,0.0048,-0.14,0.1,0.1,-0.03,0.12,0.13,-0.03,0.18,4.51,0.11,0.12,4.43,0.19,0.26,4.51,0.22,3938.4,20.72,25.23,3955.26,70.59,54.08,3970,220
GJ 338A,0.662,0.012,0.013,0.569,0.092,0.009,0.5773,0.0131,-0.06,0.08,0.16,0.13,0.25,0.04,0.17,0,4.59,0.15,0.09,4.55,0.04,0.31,4.69,0,3843.21,15.85,35.68,3959.66,19.42,148.89,3973,0
GJ 880*,0.585,0.007,0.007,0.571,0.014,0.031,0.5477,0.0048,0.15,0.08,0.06,0.1,0.09,0.09,0.2,0.05,4.67,0.1,0.11,4.66,0.12,0.15,4.74,0,3638.44,18.25,16.86,3649.87,55.22,26.54,3720,0
GJ 687,0.438,0.005,0.033,0.244,0.017,0.02,0.4183,0.007,0.19,0.13,0.13,-0.06,0.11,0.1,0.15,0.09,4.83,0.05,0.06,4.88,0.09,0.1,4.82,0.03,3389.12,92.78,16.37,3795.96,94.22,46.25,3340,20