TIC Number,TOI_Number,ARIADNE_Radius,ARIADNE_rad_upper,ARIADNE_rad_lower,ARIADNE_Teff,ARIADNE_teff_upper,ARIADNE_teff_lower,ARIADNE_[Fe/H],ARIADNE_Logg,TICv8_Radius,TICv8_Radius_err,TICv8_Teff,TICv8_Teff_err
1167538,2447.01,1.027,0.013,0.012,5855.72,28.5,34.53,"-.16 [+.15, -.16]","4.33 [+.24, -.23]",1.039,0.052,5825,130.9
4646810,461.01,0.753,0.011,0.008,4845.09,18.3,25.25,".2 [+.09, -.27]","4.56 [+.33, -.3]",0.744,0.056,4884,140.3
10837041,2411.01,0.692,0.023,0.011,4151.06,15.59,67.89,".12 [+.05, .56]","4.77 [+.16, -.18]",0.728,0.069,4099,122.6
14165625,875.01,0.715,0.018,0.013,4310.6,37.59,51.32,"-.19 [+.33, -.31]","5.12 [+.14, -.21]",0.734,0.063,4317,123.2
20318757,1027.01-02,0.653,0.016,0.01,4317.49,25.93,51.91,".11 [+.12, -.43]","4.95 [+.2, -.35]",0.68,0.061,4272,122.7
22221375,652.01,,,,,,,,,1.034,0.042,5940.4,110
23434737,1203.01,,,,,,,,,1.173,0.05,5742.2,106.4
31374837,431.01,,,,,,,,,0.727,0.043,4891,111.8
37749396,260.01,,,,,,,,,0.618,0.06,4049,120.9
42054565,280.01,0.79,0.007,0.012,5449.85,27.37,27.97,"-.09 [+.15, -.19]","4.3 [+.23, -.23]",0.783,0.039,5456,118.6
47525799,225.01,0.723,0.013,0.011,4816.24,29.54,28.75,"-.1 [+.18, -.22]","4.33 [+.3, -.22]",0.711,0.048,4880,125.8
50312495,1211.01,1.026,0.01,0.013,5847.84,36.61,39.61,"-.4 [+.18, -.16]","4.4 [+.23, -.25]",1.139,0.066,5572.9,138.6
50618703,544.01,,,,,,,,,0.663,0.061,4220,122.9
52368076,125.01-03,0.854,0.011,0.011,5247.44,29.29,25.56,"-.12 [+.17, -.2]","4.3 [+.25, -.22]",0.852,0.05,5280,130.2
62483237,139.01,,,,,,,,,0.701,0.058,4405,120.3
63698669,1892.01,0.807,0.011,0.009,5408.35,24.85,32.03,"-.23 [+.16, -.16]","4.25 [+.25, -.22]",0.795,0.042,5431,124.8
63898957,261.01-02,,,,,,,,,1.28,0.055,5890.3,105.3
65416038,4190.01,0.813,0.015,0.01,5047.29,29,33.2,".11 [+.12, -.22]","4.22 [+.23, -.2]",0.816585,0.0507965,5067,128.23
67196573,2499.01,1.239,0.034,0.039,5663.35,46.97,57.92,"-.67 [+.22, -.1]","4.05 [+.34, -.13]",1.132,0.053,5974,138.8
67782629,2454.01,0.737,0.01,0.01,4602.94,18.75,31.12,".04 [+.21, -.2]","4.84 [+.16, -.41]",0.821,0.056,4431.2,102.3
70513361,262.01,,,,,,,,,0.849,0.052,5302.6,135.8
70899085,442.01,,,,,,,,,0.608,0.018,3779,157
71013298,2467.01,0.794,0.009,0.01,4934.65,26.79,23.49,".03 [+.13, -.17]","4.56 [+.19, -.3]",0.809,0.052,4909,121
77156829,696.01-02,,,,,,,,,0.338,0.01,3563,157
77253676,697.01,,,,,,,,,0.968,0.052,5519,124.5
80682484,2810.01,,,,,,,,,1.05204,0.0487588,5910,120.883
89020549,132.01,0.919,0.015,0.014,5347.91,37.4,36.17,".05 [+.13, -.18]","4.3 [+.3, -.23]",0.941,0.053,5304,130.5
91555165,2345.01,0.734,0.012,0.01,4659.41,26.26,30.28,".08 [+.19, -.21]","4.95 [+.12, -.53]",0.759,0.058,4621,125.5
117799904,2457.01,0.615,0.019,0.009,4020.83,29.48,55.82,"-.06 [+.11, -.42]","5.08 [+.09, -.24]",0.632,0.063,4045,124.4
118327550,244.01,0.452,0.01,0.007,3279.32,27.95,30.59,"-.14 [+.19, -.25]","5.09 [+.07, -.47]",0.407,0.012,3407,157
119292328,512.01,0.898,0.013,0.012,5309.56,35.28,31.96,"-.11 [+15, -.18]","4.42 [+.32, -.25]",0.883,0.049,5336,123.4
120896927,402.01-02,,,,,,,,,0.842,0.042,5175.2,107
122613513,279.01,0.693,0.016,0.01,4475.65,23.17,47.99,".02 [+.29, -,21]","5.05 [+.21, -.3]",0.725,0.059,4413,120.5
123664207,2493.01,,,,,,,,,0.652,0.059,4242,122.6
124573851,669.01,0.986,0.014,0.013,5625.37,33.57,36.35,"-.44 [+.16, -.14]","4.32 [+.28, -.2]",0.989,0.042,5625,101.4
130924120,757.01,0.77,0.011,0.009,5323.74,36.99,30.13,"-.19 [+.18, -.19]","4.55 [+.18, -.41]",0.764,0.041,5335,118.1
139198430,1891.01,1.179,0.104,0.107,6284.33,37.12,43.19,"-.13 [+.17, -.17]","4.21 [+.2, -.23]",1.22,99.999,5984,99999.9
142868621,2446.01,0.99,0.009,0.012,5943.02,29.65,32.33,".06 [+.11, -.15]","4.12 [+.23, -.20]",0.987,0.048,5926,127.1
142937186,2427.01,0.641,0.028,0.006,4132.65,8.63,89.89,".29 [+.01, -.65]","4.75 [+.25, -.26]",0.679,0.065,4072,120.9
146520535,942.01,0.92,0.013,0.014,4878.49,27.13,25.25,"-.32 [+.19, -.14]","4.52 [+.26, -.3]",0.91,0.057,4945,121
147203645,166.01,0.973,0.027,0.012,5417.63,46.7,24.43,"-.02 [+.15, -.12]","4.4 [+.19, -.23]",1.002,0.054,5399,128.8
149845414,2545.01,1.168,0.015,0.022,6057.97,37.07,37.79,".12 [+.11, -.15]","4.65 [+.17, -.39]",1.253,0.055,5846.3,115.1
150030205,286.01-02,0.79,0.01,0.01,5118.72,26.84,33.73,".02 [+.15, -.24]","4.32 [+.21, -.24]",0.794,0.047,5116,122.5
153065527,406.01,0.432,0.009,0.005,3205.66,20.95,29.26,"-.18 [+.2, -.18]","5.06 [+.13, -.24]",0.389,0.012,3324,157
161477033,553.01-03,0.864,0.009,0.011,5314.12,27.85,27.22,".03 [+.15, -.17]","4.29 [+.21, -.21]",0.879,0.049,5286,126.5
164767175,266.01-02,,,,,,,,,0.919,0.042,5784,116.2
167303382,802.01,,,,,,,,,0.75,0.037,5235.8,104.6
167342439,707.01,0.994,0.012,0.013,5423.9,35.29,29.63,"-.05 [+.16, -.22]","4.45 [+.23, -.29]",1.021,0.05,5409.2,107.3
167415965,214.01-02,,,,,,,,,0.798,0.05,5346.2,141.5
167905035,4191.01,,,,,,,,,1.10194,0.0502312,5816,116.194
170889511,2666.01,1.149,0.023,0.023,5129.87,32.94,41.96,"-.01 [+.13, -.27]","4.63 [+.17, -.33]",1.11,0.057,5212,110.6
179034327,444.01,,,,,,,,,0.794,0.048,5091,124.4
188570092,294.01,,,,,,,,,0.789,0.062,4521,122.6
201793781,248.01,,,,,,,,,1.121,0.052,5711.7,116.1
203377303,3493.01,1.228,0.014,0.018,5864.2,39.42,41.93,"-.08 [+.14, -.2]","4.34 [+.22, -.24]",1.21151,0.0594473,5860,126.031
207141131,179.01,0.794,0.011,0.009,5067.5,23.71,22.79,".42 [+.04, -.14]","4.16 [+.32, -.19]",0.803,0.048,5081,122.9
209459275,559.01,1.243,0.018,0.021,5929,35.2,32.86,"-.37 [+.16, -.16]","4.27 [+.25, -.22]",1.209,0.055,5972,124.7
219229644,870.01,0.66,0.015,0.012,3737.05,36.31,38.38,"-.01 [+.16, .21]","4.9 [+.15, -.19]",0.611,0.018,3782,157
219338557,133.01,0.638,0.015,0.009,4297.01,15.52,45.86,".13 [+.12, -.38]","4.73 [+.2, -.3]",0.651,0.056,4281,118.6
219344917,871.01,0.728,0.008,0.008,4920.77,27.14,25.35,".03 [+.14, -.18]","4.42 [+.23, -.25]",0.732,0.045,4917,117.4
224225541,251.01,0.947,0.013,0.013,5817.52,38.87,37.32,"-.14 [+.16, -.18]","4.34 [+.21, -.23]",0.956,0.045,5789,119.2
231728511,864.01,0.426,0.02,0.009,3352.53,44.77,67.45,"-.26 [+.35, -.53]","5.03 [+.32, -.4]",0.399,0.012,3474,157
231912935,215.01,0.951,0.013,0.012,5740.02,33.51,36.61,"-.16 [+.16, -.18]","4.28 [+.24, -.25]",0.964,0.048,5707,133.1
234345288,213.01,0.699,0.019,0.008,4504.44,19.3,59.1,".23 [+.07, -.53]","4.75 [+.36, -.41]",0.672,0.052,4566.4,121.8
234994474,134.01,,,,,,,,,0.597,0.018,3746,157
237913194,2179.01,1.134,0.02,0.019,5713.83,33.42,36.78,"-.12 [+.17, -.19]","4.32 [+.19, -.24]",1.129,0.056,5713,131.3
237928815,703.01-02,0.887,0.011,0.013,5376.86,32.62,32.61,"-.02 [+.15, -.21]","4.41 [+.24, -.25]",9999.999,99.999,5433,126.7
251094370,2437.01,1.108,0.036,0.022,5939.17,51.48,36.31,"-.11 [+.16, -.21]","4.28 [+.25, -.22]",1.115,0.055,5927,130.2
251848941,178.01-03,0.665,0.014,0.014,4298.95,36.12,36.81,"-.23 [+.23, -.25]","4.9 [+.14, -.25]",0.661,0.06,4339,128
255685030,799.01,0.914,0.009,0.01,5564.08,31.3,27.84,"-.3 [+.21, -.17]","4.45 [+.2, -.28]",0.916,0.047,5624,133.5
258804746,2431.01,,,,,,,,,0.676,0.066,4079,126
259592689,429.01,0.936,0.011,0.009,5243.31,27.86,22.94,".07 [+.14, -.16]","4.32 [+.22, -.22]",0.954,0.054,5216,125.5
260004324,704.01,,,,,,,,,0.504,0.015,3596,157
260417932,932.01-02,0.715,0.013,0.007,4474.73,21.35,34.73,".07 [+.17, -.24]","4.97 [+.14, -.45]",0.734,0.06,4444,124
260708537,486.01,,,,,,,,,0.427,0.013,3470,157
261136679,144.01,1.16,0.025,0.018,5926.96,38.03,50.02,".3 [+.08, -.13]","4 [+.23, -.18]",1.149,0.045,5992.1,103.6
261257684,904.01,0.58,0.013,0.014,3619.03,51.07,36.73,"-.24 [+.26, -.18]","4.81 [+.16, -.22]",0.532,0.016,3751,157
262435954,2478.01,1.127,0.019,0.024,5744.96,40.75,52.9,"-.11 [+.15, -.14]","4.28 [+.21, -.21]",1.129,0.056,5748,131.4
264979636,518.01,1.031,0.03,0.013,5919.35,56.74,28.85,"-.2 [+.18, -.15]","4.17 [+.21, -.2]",1.032,0.048,5891,121.6
266980320,118.01,,,,,,,,,1.052,0.055,5527,126.4
271478281,2194.01,,,,,,,,,0.691,0.049,4669,121.9
274194927,2439.01,5.833,0.352,1.23,5469.74,25.08,75.63,"-.59 [+.72, -.11]","4.73 [+.06, -.76]",0.946,99.999,5283,99999.9
278683844,119.01-02,,,,,,,,,0.82,0.049,5130,124.8
282576340,2494.01-02,0.878,0.013,0.012,5448.21,32.14,37.04,"-.18 [+.17, -.17]","4.27 [+.22, -.2]",0.9,0.048,5376,129.1
299799658,1062.01,,,,,,,,,0.887,0.051,5232,124.6
300579472,4186.01,0.886,0.011,0.014,5412.04,26.54,27.94,"-.04 [+.14, -.17]","4.21 [+.27, -.19]",0.87636,0.0476382,5388,126.281
300812741,2322.01,0.685,0.012,0.009,4494.01,29.07,32.3,"-.08 [+.27, -.17]","4.87 [+.08, -.47]",0.698,0.057,4465,125.1
307210830,175.01-03,0.326,0.008,0.004,3295.31,24.25,29.65,"-.33 [+.24, -.2]","5.13 [+.1, -.31]",0.314,0.009,3429,157
309792357,199.01,0.865,0.009,0.01,5185.01,26.78,27.79,".03 [+.16, -.18]","4.32 [+.23, -.24]",0.878,0.051,5180,126.9
314865962,208.01,0.97,0.014,0.012,5534.41,28.69,45.65,"-.12 [+.19, -.17]","4.56 [+.18, -.4]",0.978,0.051,5548,131.4
316769613,314.01,0.755,0.016,0.013,4841.71,23.81,26.47,"-.13 [+.19, -.2]","4.46 [+.27, -.25]",0.776,0.051,4822,121.8
318753380,2443.01,0.677,0.012,0.009,4300.06,21.5,32.17,"-.13 [+.15, -.19]","4.98 [+.12, -.26]",0.732,0.071,4214.4,131.3
318812447,2634.01,1.07,0.057,0.087,5136.42,26.47,29.37,"-.5 [+.14, -.22]","4.58 [+.19, -.4]",0.955,99.999,5349.2,99999.9
320004517,1055.01,,,,,,,,,0.975,0.055,5783.5,146.2
323295479,1861.01,1.053,0.017,0.01,5567.09,42.48,35.55,".07 [+.1, -.18]","4.1 [+.34, -.15]",1.061,0.055,5684,135.4
327301957,1074.01,,,,,,,,,0.742,0.048,5065,134.7
339961200,724.01,0.857,0.013,0.013,5396.98,35.96,38.14,".05 [+.14, -.22]","4.37 [+.19, -.24]",0.883,0.049,5330,125
348770361,161.01,,,,,,,,,0.985,99.999,5388,99999.9
354519019,2507.01,0.926,0.011,0.01,5775.16,39.36,35.45,"-.27 [+.18, -.2]","4.29 [+.25, -.21]",0.923,0.043,5824,129.1
364393429,1207.01,,,,,,,,,1.107,0.05,5992,127.2
372172128,2196.01,1.003,0.023,0.023,5764.38,31.12,44.87,".06 [+.18, -.2]","4.43 [+.25, -.25]",1.029,0.05,5728,129.2
377064495,561.01-03,0.852,0.016,0.012,5430.4,32.16,31.34,"-.44 [+.17, -.14]","4.25 [+.24, -.2]",0.841,0.045,5440,123.5
382068562,924.01,1.033,0.017,0.017,5555.68,46.78,42.53,"-.37 [+.21, -.22]","4.17 [+.38, -.19]",0.994,0.048,5682,128.9
382626661,283.01,,,,,,,,,0.811,0.048,5245,127.1
391903064,3353.01-02,,,,,,,,,1.0207,0.0516508,5627,125.639
403224672,141.01,,,,,,,,,1.132,0.049,5795.3,110.9
405425498,2227.01,1.093,0.013,0.012,6006.83,34.38,30.71,".06 [+.1, -.17]","4.18 [+.28, -.19]",1.208,0.059,5763.5,121.1
406976746,1063.01,0.79,0.01,0.01,5261.79,31.84,34.61,"-.05 [+.12, -.22]","4.39 [+.26, -.28]",0.792,0.045,5249,122.7
413248763,562.01,,,,,,,,,0.36,0.011,3490,157
420051632,2429.01,0.914,0.017,0.02,5343.24,42.86,35.49,"-.1 [+.15, -.24]","4.24 [+.42, -.17]",0.843,0.052,5517.8,142.9
425997655,174.01-04,,,,,,,,,0.691,0.042,4813,111.6
429304876,682.01,,,,,,,,,1.084,0.069,5085,131.4
440887364,836.01-02,,,,,,,,,0.691,0.061,4250,119.7
441420236,2221.01,,,,,,,,,0.698,0.021,99999.9,99999.9
453211454,509.01-02,,,,,,,,,0.962,0.043,5560.3,109.7