,TOI Number,TIC_Rstar,TIC_Mstar,Rplanet_old,Rplanet_old_e,Mplanet_old,semi_amp_old,ARIADNE_Rstar,ARIADNE_Mstar,ARIADNE_lum,Rplanet_new,Rplanet_new_e,Mplanet_new,semi_amp_new,teff_e_old,teff_e_new,rstar_e_old,rstar_e_new
0,2447.01,1.04,1.05,10.206,0.521054,74.513,2.14,1.0270058990903788,1.05840353880865,1.110798872795098,10.078482890496543,0.0011682691941547123,72.54424964849768,-1,130.9,31.515,0.052,0.0125
1,461.01,0.74,0.8,1.902,1.066955,4.282,1.43,0.7526189972243137,0.8157839105735958,0.28045041779598373,1.9344342334062763,0.0012353063112240576,4.401038077129681,1.452750522877092,140.3,21.775,0.056,0.0095
2,2411.01,0.73,0.64,1.747,1.628687,3.708,3.46,0.6920809636701821,0.7065523210027775,0.12651071768628525,1.6562540322353536,0.0008903543358943935,3.3812556737349246,2.9575063590139257,122.6,41.74,0.069,0.017
3,875.01,0.73,0.67,2.389,2.098464,6.311,2.37,0.7150763925032674,0.7465003084110571,0.15821014378836679,2.340160961219597,0.0016817323184717377,6.080630422572933,2.123330073877074,123.2,44.455,0.063,0.0155
4,1027.02,0.68,0.67,3.122,0.33806,9.949,3.73,0.6529973475223066,0.6871529930512161,0.13323063026950724,2.998026057300943,0.00054925223655483,9.26005546027639,3.416264474595824,122.7,38.92,0.061,0.013000000000000001
5,1027.01,0.68,0.67,2.701,0.264858,7.776,4.37,0.6529973475223066,0.6871529930512161,0.13323063026950724,2.5937438759672795,0.00045450359798087986,7.241162604463324,4.000787161113423,122.7,38.92,0.061,0.013000000000000001
6,1203.01,1.17,1.03,2.901,0.741914,8.78,1.87,1.1532840868375636,1.0301601053976839,1.3622979146176402,2.859553107620318,0.0008996643124193995,8.545660082340923,1.8203558782884417,106.4,51.769999999999996,0.05,0.0225
7,431.01,0.73,0.8,3.281,0.32791,10.823,3.46,0.7634906591164068,0.8219138821979552,0.2728935448934439,3.431524455562919,0.0005873428782482965,11.646408461186796,3.6610270451700826,111.8,22.17,0.043,0.009999999999999998
8,431.02,0.73,0.8,1.474,0.161531,2.778,2.61,0.7634906591164068,0.8219138821979552,0.2728935448934439,1.541623604846005,0.000302156566252351,2.9936025846400014,2.7672549058316376,111.8,22.17,0.043,0.009999999999999998
9,260.01,0.62,0.63,1.603,1.525768,3.203,1.17,0.6194077992886586,0.6057601060867326,0.08646876782683181,1.6014688746124512,0.0008208287825530922,3.193565995286021,1.19887341117589,120.9,34.98,0.06,0.0115
10,280.01,0.78,0.95,2.45,0.206855,6.586,2.01,0.7900805559975849,0.8589489388094921,0.4940591882960441,2.4816632848642093,0.0002979062121788805,6.71796049672146,2.1933122027520557,118.6,27.67,0.039,0.0095
11,225.01,0.71,0.8,7.622,,45.364,1.57,0.7230280742438048,0.7644416483212579,0.25365590626681844,7.761859129417296,,46.561113257345816,-1,125.8,29.145,0.048,0.012
12,1211.01,1.14,0.98,3.132,0.547404,10.0,2.47,1.0264362910662508,1.0723011381894239,1.103136771601189,2.819998652297805,0.0011326488859228266,8.345939141664916,1.9378780872598507,138.6,38.11,0.066,0.0115
13,544.01,0.66,0.66,2.16,0.641268,5.318,3.88,0.6554503369517102,0.6660970063532713,0.12004485757075758,2.1451101936601424,0.0006181196193169125,5.245400087202031,3.8014436028705316,122.9,32.504999999999995,0.061,0.0115
14,125.03,0.85,0.91,2.748,2.696121,8.008,2.01,0.8541571080968179,0.8874704317095353,0.498401451650392,2.7614396859412422,0.0015246793741382097,8.053833591611978,2.055127039339175,130.2,27.424999999999997,0.05,0.011
15,125.02,0.85,0.91,3.057,0.363099,9.596,3.12,0.8541571080968179,0.8874704317095353,0.498401451650392,3.0719509170023205,0.0015023923268444653,9.651044461433608,3.193270896320397,130.2,27.424999999999997,0.05,0.011
16,125.01,0.85,0.91,2.652,0.187223,7.54,3.07,0.8541571080968179,0.8874704317095353,0.498401451650392,2.664970177262072,0.00033593231919650543,7.581991311829721,3.1450230671723514,130.2,27.424999999999997,0.05,0.011
17,139.01,0.7,0.69,3.079,0.309398,9.717,3.57,0.6888507454478261,0.7145828210825257,0.16096663129966887,3.0299592074769386,0.0010425525395193595,9.428134625200912,3.3843717066769936,120.3,31.130000000000003,0.058,0.0125
18,1892.01,0.8,0.95,1.404,1.319037,2.557,0.08,0.8066477200495772,0.863014738336555,0.5016403078613553,1.4156667486870078,0.0011589984978036029,2.5902781559083916,-1,124.8,28.44,0.042,0.009999999999999998
19,261.02,1.28,1.07,3.262,1.269619,10.72,2.78,1.1591986942779098,1.0474330327191748,1.644524149855878,2.9541454224488604,0.0014066619559777846,9.031122128899973,2.378974651820121,105.3,38.915,0.055,0.0165
20,261.01,1.28,1.07,2.912,0.240142,8.836,3.61,1.1591986942779098,1.0474330327191748,1.644524149855878,2.6371770294822445,0.00034013757204334505,7.448230601794676,3.082185987734595,105.3,38.915,0.055,0.0165
21,4190.01,0.82,0.85,2.149,1.413378,5.274,1.51,0.8134258222015194,0.8779181606353553,0.38659939400494026,2.131770843793982,0.0011632547924023931,5.190140897123142,1.4485400139643778,128.23,31.1,0.0507965,0.0125
22,2454.01,0.82,0.69,2.505,2.826206,6.842,2.74,0.7368995592696189,0.7979765999464974,0.21869915629409153,2.251138287768775,0.001490742007133017,5.693138372844282,2.072983667998702,102.3,24.935000000000002,0.056,0.01
23,442.01,0.61,0.59,4.65,0.164016,19.582,11.11,0.6661681708264371,0.6347330242943665,0.0759188115564783,5.078167203840874,0.0014957784723622185,22.656360511507074,12.303606509518474,157.0,55.75,0.018,0.021500000000000002
24,2467.01,0.81,0.8,1.774,1.722854,3.805,2.34,0.7941441363319532,0.850907310341344,0.3366418629160785,1.7392737010529444,0.0009268192304168082,3.6740139274072035,2.1688378933487447,121.0,25.14,0.052,0.0095
25,696.03,0.34,0.32,0.857,2.662543,0.559,0.45,0.33859708390970844,0.33194047645803415,0.014583509769276587,0.8534638262077061,0.0007525349245355939,0.5507445969086188,0.430613917893671,157.0,25.11,0.01,0.005
26,696.02,0.34,0.32,1.043,0.4390688,1.129,1.0,0.33859708390970844,0.33194047645803415,0.014583509769276587,1.0386963485818408,0.0004096602733466473,1.1135186841994897,0.960809198399775,157.0,25.11,0.01,0.005
27,696.01,0.34,0.32,0.972,0.563763,0.877,1.26,0.33859708390970844,0.33194047645803415,0.014583509769276587,0.967989310471284,0.0004302918301478911,0.8648791295389472,1.213011222253538,157.0,25.11,0.01,0.005
28,2810.01,1.05,1.07,2.109,0.153842,5.105,1.53,1.0482503687172944,1.0905000823344604,1.2440742228234571,2.1054857405950225,0.0002288321163069956,5.08195806753398,1.5087397095071868,120.883,37.71,0.0487588,0.0115
29,132.01,0.94,0.91,3.031,0.215204,9.458,5.03,0.9188799366247147,0.9793773684168101,0.6199270987282174,2.9628990296909685,0.00046818871385376464,9.07660315252192,4.593198891146534,130.5,36.785,0.053,0.014499999999999999
30,2345.02,0.76,0.73,2.34,1.4154048,6.095,1.38,0.7338922166857011,0.7841332720899994,0.2279990450372375,2.2596155092691323,0.0012767554039118745,5.72958503921011,1.2382882075466375,125.5,28.270000000000003,0.058,0.011
31,2345.01,0.76,0.73,1.42,1.7885791,2.607,2.02,0.7338922166857011,0.7841332720899994,0.2279990450372375,1.3712196680180204,0.0007090125193486579,2.4537210287646984,1.8139740719952224,125.5,28.270000000000003,0.058,0.011
32,2457.01,0.63,0.63,2.759,1.301711,8.062,2.9,0.6150575469778105,0.6160175504283434,0.08923769161375976,2.6935615430345696,0.0016417204637864525,7.720613066847341,2.8160983943985722,124.4,42.65,0.063,0.013999999999999999
33,244.01,0.41,0.4,1.312,1.810652,2.279,1.38,0.45150434888560004,0.4272712564769038,0.021222306651465135,1.4448139164339202,0.0008652517390168045,2.68147265197516,1.5513209173446474,157.0,29.27,0.012,0.0085
34,512.02,0.88,0.92,1.749,0.162156,3.715,0.92,0.8978696715329406,0.9576896103239209,0.5765837156835266,1.7845159721717196,0.0002562160396256846,3.837739118273088,0.9263194507289705,123.4,33.620000000000005,0.049,0.0125
35,512.01,0.88,0.92,1.525,1.174509,2.944,1.03,0.8978696715329406,0.9576896103239209,0.5765837156835266,1.5559673285087892,0.0006758369018146741,3.0410452013360367,1.0370777915614853,123.4,33.620000000000005,0.049,0.0125
36,279.01,0.73,0.69,1.853,0.183555,4.099,1.49,0.6934137838989015,0.7354530134523856,0.17290981115364415,1.7601311528283077,0.0005161237639642577,3.7491294916212796,1.3047186627979133,120.5,35.58,0.059,0.013000000000000001
37,2493.01,0.65,0.66,2.66,3.714904,7.574,0.3,0.6339248647040115,0.6517682317092152,0.1198292119887086,2.5942156001733396,0.0019380084345377204,7.243398655103938,-1,122.6,36.42,0.059,0.01
38,669.01,0.99,1.0,2.693,0.628328,7.735,3.14,0.9863367873679081,0.9301547761964116,0.8791247891735865,2.683035321597754,0.0012797709522050914,7.6694579228839785,3.257307838785527,101.4,34.96,0.042,0.0135
39,757.01,0.76,0.92,2.129,0.14027,5.188,1.35,0.7700589215486819,0.8342139244359027,0.4304147000587591,2.1571782157594,0.0002795973860700932,5.29559976672294,1.4727696203588394,118.1,33.56,0.041,0.009999999999999998
40,1891.01,1.22,1.1,8.367,,53.153,12.82,1.1794423952961202,1.3264594706336374,1.9265656653870762,8.088847968395605,0.006214723545409896,49.94009448129337,10.640577825090903,99999.9,40.155,99.999,0.1055
41,2446.01,0.99,1.08,4.208,0.693227,16.52,3.78,0.9895548354440905,1.0577554206423885,1.0959680800501859,4.206107825806801,0.001567677220130604,16.453774385920294,3.8192901055265764,127.1,30.99,0.048,0.010499999999999999
42,2427.01,0.68,0.64,1.995,0.411218,4.647,3.66,0.640563635719962,0.6616074009649469,0.10644912619905009,1.8793006665607708,0.0005150774144824894,4.190199976475936,3.228435095632797,120.9,49.26,0.065,0.017
43,942.01,0.91,0.81,3.521,0.272617,12.202,5.49,0.920133894724652,0.8885804071668991,0.4311302279634898,3.560210377280769,0.0005202816944407838,12.397590478214518,5.263425464193333,121.0,26.189999999999998,0.057,0.0135
44,166.01,1.0,0.94,9.856,3.267286,70.217,27.24,0.972524360106716,0.9919273214707027,0.7444220630405335,9.585200093211792,0.0026453546948006167,66.61949402289476,24.943600529629578,128.8,35.565,0.054,0.0195
45,2545.01,1.25,1.06,2.558,2.075654,7.087,2.19,1.1683117208893985,1.1883063071205302,1.647551305666598,2.390833105628065,0.0011989698837295319,6.305856393618502,1.7975887051280732,115.1,37.43,0.055,0.0185
46,286.02,0.79,0.86,1.999,0.351408,4.661,0.97,0.7898506232864081,0.8513820311292486,0.3850524465440962,1.9986220201892784,0.00046680983604167263,4.651834166511239,0.9734996122567597,122.5,30.284999999999997,0.047,0.01
47,286.01,0.79,0.86,1.487,0.397542,2.82,1.21,0.7898506232864081,0.8513820311292486,0.3850524465440962,1.4867188314264417,0.0003197849758456437,2.814846656818408,1.212682216709989,122.5,30.284999999999997,0.047,0.01
48,406.01,0.39,0.38,1.96,0.445934,4.509,2.33,0.4321432500490258,0.40675387005889163,0.017730952056202738,2.171796846400232,0.0006591394830942724,5.356672232395037,2.641776847209634,157.0,25.105,0.012,0.006999999999999999
49,406.02,0.39,0.38,1.273,3.296718,2.165,1.41,0.4321432500490258,0.40675387005889163,0.017730952056202738,1.4105598905446406,0.001355938642164952,2.574433722165504,1.5974928976624543,157.0,25.105,0.012,0.006999999999999999
50,553.03,0.88,0.91,2.732,0.199804,7.929,1.97,0.8639958880269448,0.9438787046332646,0.5362191697520977,2.682314506920015,0.0003043910581802603,7.665960034921934,1.86313645042207,126.5,27.535,0.049,0.009999999999999998
51,553.02,0.88,0.91,2.39,2.724066,6.315,1.88,0.8639958880269448,0.9438787046332646,0.5362191697520977,2.3465342868004524,0.001520821264218817,6.1087731411303245,1.776829105844174,126.5,27.535,0.049,0.009999999999999998
52,802.01,0.75,0.89,0.708,0.248636,0.283,0.13,0.7481543048694996,0.8166218732280014,0.3784568960759877,0.7062576637968077,0.0002994305527951868,0.2794138527390594,0.13230157931944403,104.6,40.89,0.037,0.015
53,707.01,1.02,0.94,2.407,1.012834,6.394,1.14,0.9938093980589154,1.0567510001517604,0.7700657158806452,2.345195314831186,0.000820569566911362,6.102856206001881,1.0026802060441489,107.3,32.46,0.05,0.0125
54,4191.01,1.1,1.05,2.276,1.328436,5.811,0.4,1.1263149711049096,1.0005803792298635,1.2652716306037533,2.330448067486158,0.0012464432425184462,6.037843938754023,0.4261530509087802,116.194,38.07,0.0502312,0.014499999999999999
55,2666.01,1.11,0.89,16.653,0.950689,317.0,10.16,1.1493652416549505,0.9528299566983625,0.8193623929533335,17.24358501736927,0.003414829137301521,43513.47765913039,-1,110.6,37.45,0.057,0.023
56,294.01,0.79,0.71,9.691,0.781804,68.231,28.19,0.7686808276043922,0.8011401960857158,0.22399123614998723,9.429475823182488,0.0018938751202450565,64.79236854255748,24.72514385055212,122.6,28.265,0.062,0.016
57,3493.01,1.21,1.06,3.388,1.125704,11.429,2.77,1.2278521878848887,1.0361870304112193,1.5921761152954832,3.4379861260776883,0.00108826256188645,11.683666467341498,2.876283461409322,126.031,40.675,0.0594473,0.016
58,179.01,0.8,0.85,2.676,0.701669,7.653,3.4,0.7944094127955064,0.8794650377508811,0.3745388260706655,2.657299485800969,0.0005104542942914901,7.544976660241394,3.2740557975623275,122.9,23.25,0.048,0.009999999999999998
59,559.01,1.21,1.1,12.227,0.562704,101.301,31.79,1.2431084273394746,0.9957222490856457,1.7155882391466468,12.56155929014856,0.0019548697612564617,-1.0,-1,124.7,34.03,0.055,0.0195
60,870.01,0.61,0.6,2.335,0.287695,6.071,1.95,0.6595109793274414,0.6371620130942229,0.075726633856452,2.5245215356222555,0.0010240111641370783,6.916121501735104,2.13036825872826,157.0,37.345,0.018,0.0135
61,133.01,0.65,0.67,2.204,0.640908,5.505,2.28,0.6384076343967365,0.6652118013349175,0.12390996074670584,2.1646929634006264,0.0007934397131033393,5.326958288169682,2.2168344105738775,118.6,30.689999999999998,0.056,0.012
